Area,Taluk,District,State,Pincode
Yelahanka Satellite Town,NA,Bangalore,KARNATAKA,560064
Bangalore G.P.O.,Bangalore North,Bangalore,KARNATAKA,560001
Adugodi,Bangalore South,Bangalore,KARNATAKA,560030
Agara,Bangalore South,Bangalore,KARNATAKA,560034
Anjanapura,Bangalore,Bangalore,KARNATAKA,560108
Ashoknagar Bangalore,Bangalore South,Bangalore,KARNATAKA,560050
B Sk II Stage,Bangalore South,Bangalore,KARNATAKA,560070
Banashankari III Stage,Bangalore South,Bangalore,KARNATAKA,560085
Banashankari,Bangalore South,Bangalore,KARNATAKA,560050
Bangalore Corporation Building,Bangalore South,Bangalore,KARNATAKA,560002
Bannerghatta Road,Bangalore South,Bangalore,KARNATAKA,560076
Bannerghatta,Bangalore South,Bangalore,KARNATAKA,560083
Basavanagudi,Bangalore South,Bangalore,KARNATAKA,560004
Begur,Bangalore South,Bangalore,KARNATAKA,560068
Bnagalore Viswavidalaya,Bangalore South,Bangalore,KARNATAKA,560056
Bolare,Bangalore South,Bangalore,KARNATAKA,560082
Bommanahalli Bangalore,Bangalore South,Bangalore,KARNATAKA,560068
Bommasandra Industrial Estate,Bangalore South,Bangalore,KARNATAKA,560099
Carmelram,Bangalore South,Bangalore,KARNATAKA,560035
Chamrajpet Bangalore,Bangalore South,Bangalore,KARNATAKA,560018
Chandapura,Bangalore South,Bangalore,KARNATAKA,560099
Chandapura,Bangalore,Bangalore,KARNATAKA,560081
Chickpet,Bangalore South,Bangalore,KARNATAKA,560053
Chikkalasandra,Bangalore South,Bangalore,KARNATAKA,560061
Chudenapura,Bangalore South,Bangalore,KARNATAKA,560060
DasarahalliSrinagar,Bangalore South,Bangalore,KARNATAKA,560050
Deepanjalinagar,Bangalore South,Bangalore,KARNATAKA,560026
Dharmaram College,Bangalore South,Bangalore,KARNATAKA,560029
Doddakallasandra,Bangalore South,Bangalore,KARNATAKA,560062
Electronics City,Bangalore South,Bangalore,KARNATAKA,560100
Gaviopuram Extension,Bangalore South,Bangalore,KARNATAKA,560019
Girinagar Bangalore,Bangalore South,Bangalore,KARNATAKA,560085
Gottigere,Bangalore South,Bangalore,KARNATAKA,560083
Governmemnt Electric Factory,Bangalore South,Bangalore,KARNATAKA,560026
Haragadde,Anekal,Bangalore,KARNATAKA,560105
Hennagara,Anekal,Bangalore,KARNATAKA,560105
HSR Layout,Bangalore South,Bangalore,KARNATAKA,560102
Hulimangala,Anekal,Bangalore,KARNATAKA,560105
Hulimavu,Bangalore South,Bangalore,KARNATAKA,560076
Hulimavu,Bangalore,Bangalore,KARNATAKA,560076
J P Nagar,Bangalore South,Bangalore,KARNATAKA,560078
Jayanagar,Bangalore South,Bangalore,KARNATAKA,560041
Jayanagar West,Bangalore South,Bangalore,KARNATAKA,560070
Jayangar III Block,Bangalore South,Bangalore,KARNATAKA,560011
Jigani,Anekal,Bangalore,KARNATAKA,560105
JP Nagar III Phase,Bangalore South,Bangalore,KARNATAKA,560078
JP Nagar VIII phase,Bangalore South,Bangalore,KARNATAKA,560076
Kallubalu,Anekal,Bangalore,KARNATAKA,560105
Kathriguppe,Bangalore South,Bangalore,KARNATAKA,560085
Konanakunte,Bangalore,Bangalore,KARNATAKA,560062
Koramangala I Block,Bangalore South,Bangalore,KARNATAKA,560034
Koramangala,Bangalore South,Bangalore,KARNATAKA,560034
Koramangala VI Bk,Bangalore South,Bangalore,KARNATAKA,560095
Kumaraswamy Layout,Bangalore South,Bangalore,KARNATAKA,560078
Kumbalagodu,Bangalore South,Bangalore,KARNATAKA,560074
Kumbalgodu Gollahalli,Bangalore South,Bangalore,KARNATAKA,560074
Madhavan Park,Bangalore South,Bangalore,KARNATAKA,560011
Madivala,Bangalore South,Bangalore,KARNATAKA,560068
Mallathahalli,Bangalore South,Bangalore,KARNATAKA,560056
Mavalli,Bangalore South,Bangalore,KARNATAKA,560004
Mico Layout,Bangalore South,Bangalore,KARNATAKA,560076
Mount St Joseph,Bangalore South,Bangalore,KARNATAKA,560076
Muthanallur,Bangalore South,Bangalore,KARNATAKA,560099
Nayandahalli,Bangalore South,Bangalore,KARNATAKA,560039
Padmanabhnagar,Bangalore South,Bangalore,KARNATAKA,560070
Pampamahakavi Road,Bangalore South,Bangalore,KARNATAKA,560004
Ragihalli,Anekal,Bangalore,KARNATAKA,560083
Rajarajeshwarinagar,Bangalore South,Bangalore,KARNATAKA,560098
Ramohalli,Bangalore South,Bangalore,KARNATAKA,560074
Rv Niketan,Bangalore South,Bangalore,KARNATAKA,560059
Sampangiramnagar,Bangalore South,Bangalore,KARNATAKA,560027
Shanthinagar,Bangalore South,Bangalore,KARNATAKA,560027
St. Johns Medical College,Bangalore South,Bangalore,KARNATAKA,560034
State Bank Of Mysore Colony,Bangalore South,Bangalore,KARNATAKA,560050
Subramanyapura,Bangalore South,Bangalore,KARNATAKA,560061
Tavarekere,Bangalore,Bangalore,KARNATAKA,560029
Thalaghattapura,Bangalore South,Bangalore,KARNATAKA,560109
Thataguni,Bangalore South,Bangalore,KARNATAKA,560082
Thyagarajnagar,Bangalore,Bangalore,KARNATAKA,560004
Tilaknagar Bangalore,Bangalore South,Bangalore,KARNATAKA,560041
Tyagrajnagar,Bangalore South,Bangalore,KARNATAKA,560070
Ullalu Upanagar,Bangalore,Bangalore,KARNATAKA,560110
Wilson Garden,Bangalore South,Bangalore,KARNATAKA,560027
Wipro Limited,Bangalore South,Bangalore,KARNATAKA,560100
Yelachenahalli,Bangalore South,Bangalore,KARNATAKA,560078
Bagalgunte,Bangalore North,Bangalore,KARNATAKA,560073
Bangalore City,Bangalore North,Bangalore,KARNATAKA,560002
Bangalore Dist Offices Bldg,Bangalore North,Bangalore,KARNATAKA,560009
Bapagrama,Bangalore North,Bangalore,KARNATAKA,560091
Basaveshwaranagar,Bangalore North,Bangalore,KARNATAKA,560079
Chandra Lay Out,Bangalore North,Bangalore,KARNATAKA,560040
Chikkabidarkal,Bangalore North,Bangalore,KARNATAKA,560073
Gayathrinagar,Bangalore North,Bangalore,KARNATAKA,560021
Hampinagar,Bangalore North,Bangalore,KARNATAKA,560104
Herohalli,Bangalore north,Bangalore,KARNATAKA,560091
Industrial Estate Bangalore,Bangalore North,Bangalore,KARNATAKA,560010
Jalahalli East,Bangalore North,Bangalore,KARNATAKA,560014
Jalahalli,Bangalore North,Bangalore,KARNATAKA,560013
Jalahalli West,Bangalore North,Bangalore,KARNATAKA,560015
K H B Colony,Bangalore North,Bangalore,KARNATAKA,560079
K. G. Road,Bangalore North,Bangalore,KARNATAKA,560009
Kamakshipalya,Bangalore North,Bangalore,KARNATAKA,560079
Kodigehalli,Bangalore,Bangalore,KARNATAKA,560112
Laggere,Bangalore North,Bangalore,KARNATAKA,560058
Magadi Road,Bangalore North,Bangalore,KARNATAKA,560023
Mahalakshmipuram Layout,Bangalore North,Bangalore,KARNATAKA,560086
Malleswaram,Bangalore North,Bangalore,KARNATAKA,560003
Malleswaram West,Bangalore North,Bangalore,KARNATAKA,560055
Mathikere,Bangalore North,Bangalore,KARNATAKA,560054
Msrit,Bangalore North,Bangalore,KARNATAKA,560054
Nagarbhavi,Bangalore North,Bangalore,KARNATAKA,560072
Nagasandra Bangalore,Bangalore North,Bangalore,KARNATAKA,560073
Nandinilayout,Bangalore North,Bangalore,KARNATAKA,560096
Nelakadiranahalli,Bangalore North,Bangalore,KARNATAKA,560073
Palace Guttahalli,Bangalore North,Bangalore,KARNATAKA,560003
Peenya Dasarahalli,Bangalore North,Bangalore,KARNATAKA,560057
Peenya I Stage,Bangalore North,Bangalore,KARNATAKA,560058
Peenya Small Industries,Bangalore North,Bangalore,KARNATAKA,560058
Rajajinagar,Bangalore North,Bangalore,KARNATAKA,560010
Rajajinagar IVth Block,Bangalore North,Bangalore,KARNATAKA,560010
Science Institute,Bangalore North,Bangalore,KARNATAKA,560012
Seshadripuram,Bangalore North,Bangalore,KARNATAKA,560020
Sri Chowdeshwari,Bangalore North,Bangalore,KARNATAKA,560054
Srirampuram,Bangalore North,Bangalore,KARNATAKA,560021
Swimming Pool Extn,Bangalore North,Bangalore,KARNATAKA,560003
Tarabanahalli,Bangalore North,Bangalore,KARNATAKA,560090
Vidyaranyapura,Bangalore North,Bangalore,KARNATAKA,560097
Vijayanagar East,Bangalore North,Bangalore,KARNATAKA,560040
Vijayanagar Bangalore,Bangalore North,Bangalore,KARNATAKA,560040
Viswaneedam,Bangalore North,Bangalore,KARNATAKA,560091
Vyalikaval Extn,Bangalore North,Bangalore,KARNATAKA,560003
West of Chord Road II stage,Bangalore North,Bangalore,KARNATAKA,560086
Yeshwanthpur Bazar,Bangalore North,Bangalore,KARNATAKA,560022
Yeswanthpura,Bangalore North,Bangalore,KARNATAKA,560022
Anekal,Anekal,Bangalore,KARNATAKA,562106
Attibele,Anekal,Bangalore,KARNATAKA,562107
Avathi,Devanahalli,Bangalore,KARNATAKA,562164
Bagalur Bangalore,Banglorenorth,Bangalore,KARNATAKA,562149
Bandikodigehalli,Bgnorth,Bangalore,KARNATAKA,562149
Bestamaranahalli,Anekal,Bangalore,KARNATAKA,562106
Bettahalsur,Bangalore North,Bangalore,KARNATAKA,562157
Bidaraguppe,Anekal,Bangalore,KARNATAKA,562107
Byagadadenahalli,Anekal,Bangalore,KARNATAKA,562106
Chamarajasagara,Magadi,Bangalore,KARNATAKA,562120
Chikkajala,Bg North,Bangalore,KARNATAKA,562157
Chikkanahalli,Bgsouth,Bangalore,KARNATAKA,562130
Chunchanakuppe,Bg South,Bangalore,KARNATAKA,562130
Dasanapura,Bangalore North,Bangalore,KARNATAKA,562162
Doddajala,Bg North,Bangalore,KARNATAKA,562157
Dommasandra,Anekal,Bangalore,KARNATAKA,562125
Guddanahalli,Anekal,Bangalore,KARNATAKA,562106
Handenahalli,Anekal,Bangalore,KARNATAKA,562125
Hunasamaranahalli,Bg North,Bangalore,KARNATAKA,562157
Indalavadi,Anekal,Bangalore,KARNATAKA,562106
Kadabagere,Nla & Bgsouth,Bangalore,KARNATAKA,562130
Kannur,Bg North,Bangalore,KARNATAKA,562149
Kugur,Anekal,Bangalore,KARNATAKA,562125
Madanayakanahalli,Bangalore North,Bangalore,KARNATAKA,562162
Marsur,Anekal,Bangalore,KARNATAKA,562106
Mayasandra,Anekal,Bangalore,KARNATAKA,562107
Neralur,Anekal,Bangalore,KARNATAKA,562107
Neriga,Anekal,Bangalore,KARNATAKA,562125
Samandur,Anekal,Bangalore,KARNATAKA,562106
Sarjapura,Anekal,Bangalore,KARNATAKA,562125
Sidihoskote,Anekal,Bangalore,KARNATAKA,562106
Tarahunise,Bg North,Bangalore,KARNATAKA,562157
Tavarekere Bangalore,Bangaloresouth,Bangalore,KARNATAKA,562130
Thammanayakanahalli,Anekal,Bangalore,KARNATAKA,562106
Vanakanahalli,Anekal,Bangalore,KARNATAKA,562106
Vidyanagara,Bg North,Bangalore,KARNATAKA,562157
Yadavanahalli,Anekal,Bangalore,KARNATAKA,562107
